0.0000 -4.4996931e-05 0.010001 0
1.0000 -4.5008684e-05 0.010001 1000
2.0000 -4.5008702e-05 0.010001 2000
3.0000 -4.5008712e-05 0.010001 3000
4.0000 -4.5008721e-05 0.010001 4000
5.0000 -4.5008731e-05 0.010001 5000
6.0000 -4.5008742e-05 0.010001 6000
7.0000 -4.5008755e-05 0.010001 7000
8.0000 -4.5008770e-05 0.010001 8000
9.0000 -4.5008787e-05 0.010001 9000
10.000 -4.5008808e-05 0.010001 10000
11.000 -4.5008833e-05 0.010001 11000
12.000 -4.5008863e-05 0.010001 12000
13.000 -4.5008898e-05 0.010001 13000
14.000 -4.5008940e-05 0.010001 14000
15.000 -4.5008991e-05 0.010001 15000
16.000 -4.5009051e-05 0.010001 16000
17.000 -4.5009123e-05 0.010001 17000
18.000 -4.5009210e-05 0.010001 18000
19.000 -4.5009314e-05 0.010001 19000
20.000 -4.5009438e-05 0.010001 20000
21.000 -4.5009588e-05 0.010001 21000
22.000 -4.5009768e-05 0.010001 22000
23.000 -4.5009984e-05 0.010001 23000
24.000 -4.5010244e-05 0.010001 24000
25.000 -4.5010557e-05 0.010001 25000
26.000 -4.5010934e-05 0.010001 26000
27.000 -4.5011388e-05 0.010001 27000
28.000 -4.5011935e-05 0.010001 28000
29.000 -4.5012595e-05 0.010001 29000
30.000 -4.5013392e-05 0.010001 30000
31.000 -4.5014352e-05 0.010001 31000
32.000 -4.5015512e-05 0.010001 32000
33.000 -4.5016913e-05 0.010001 33000
34.000 -4.5018605e-05 0.010001 34000
35.000 -4.5020650e-05 0.010001 35000
36.000 -4.5023122e-05 0.010001 36000
37.000 -4.5026112e-05 0.010001 37000
38.000 -4.5029728e-05 0.010001 38000
39.000 -4.5034103e-05 0.010001 39000
40.000 -4.5039398e-05 0.010001 40000
41.000 -4.5045808e-05 0.010001 41000
42.000 -4.5053569e-05 0.010001 42000
43.000 -4.5062970e-05 0.010001 43000
44.000 -4.5074359e-05 0.010001 44000
45.000 -4.5088158e-05 0.010001 45000
46.000 -4.5104883e-05 0.010001 46000
47.000 -4.5125157e-05 0.010001 47000
48.000 -4.5149739e-05 0.010001 48000
49.000 -4.5179549e-05 0.010001 49000
50.000 -4.5215706e-05 0.010001 50000
51.000 -4.5259569e-05 0.010001 51000
52.000 -4.5312790e-05 0.010001 52000
53.000 -4.5377376e-05 0.010001 53000
54.000 -4.5455766e-05 0.010001 54000
55.000 -4.5550925e-05 0.010001 55000
56.000 -4.5666457e-05 0.010001 56000
57.000 -4.5806744e-05 0.010001 57000
58.000 -4.5977115e-05 0.010001 58000
59.000 -4.6184047e-05 0.010001 59000
